,0,studio
"('Fantasia2000', 20)",Lisa C. Cook,Disney
"('Fantasia2000', 23)",Patty Hicks,Disney
"('Fantasia2000', 24)",David Lovegren,Disney
"('Dinosaur', 0)",Eric Leighton,Disney
"('Dinosaur', 3)",John Harrison,Disney
"('Dinosaur', 4)",Robert Nelson Jacobs,Disney
"('Dinosaur', 8)",Walon Green,Disney
"('Dinosaur', 9)",Gregory Gunter,Disney
"('Dinosaur', 10)",Shirley Pierce,Disney
"('Dinosaur', 12)",Rhett Reese,Disney
"('Dinosaur', 15)",Jim Burton,Disney
"('Dinosaur', 16)",Enfys Dickinson,Disney
"('Dinosaur', 17)",Pam Marsden,Disney
"('Emperor', 0)",Mark Dindal,Disney
"('Emperor', 8)",Matthew Jacobs,Disney
"('Emperor', 9)",Doug Frankel,Disney
"('Emperor', 12)",Prudence Fenton,Disney
"('Emperor', 13)",Randy Fullmer,Disney
"('Atlantis', 5)",Joss Whedon,Disney
"('Atlantis', 6)",Bryce Zabel,Disney
"('Atlantis', 7)",Jackie Zabel,Disney
"('Atlantis', 10)",Plato,Disney
"('LiloStitch', 5)",Lisa M. Poole,Disney
"('LiloStitch', 6)",Clark Spencer,Disney
"('TreasurePlanet', 2)",Robert Louis Stevenson,Disney
"('TreasurePlanet', 5)",Rob Edwards,Disney
"('TreasurePlanet', 12)",Peter Del Vecho,Disney
"('BroBear', 0)",Aaron Blaise,Disney
"('BroBear', 1)",Robert Walker,Disney
"('BroBear', 3)",Lorne Cameron,Disney
"('BroBear', 4)",David Hoselton,Disney
"('BroBear', 5)",Steve Bencich,Disney
"('BroBear', 6)",Ron J. Friedman,Disney
"('BroBear', 9)",Kevin Deters,Disney
"('BroBear', 10)",Woody Woodman,Disney
"('BroBear', 15)",John Puglisi,Disney
"('BroBear', 17)",Tom LaBaff,Disney
"('BroBear', 18)",Ray Shenusay,Disney
"('BroBear', 20)",Jim Story,Disney
"('BroBear', 23)",Samuel Levine,Disney
"('BroBear', 24)",Aurian Redson,Disney
"('BroBear', 26)",Jeff Hand,Disney
"('BroBear', 27)",Sam Levine,Disney
"('BroBear', 28)",Igor Khait,Disney
"('BroBear', 29)",Chuck Williams,Disney
"('HomeRange', 6)",Michael LaBash,Disney
